dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed,coverage,stretch,cp_quantile
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1997,0.975,1.6342819956555903,6
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1997,0.975,1.8477861456916655,8
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1998,0.975,1.1015089850058177,1
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1998,1.0,1.2041377556979633,2
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1998,0.95,1.4112834816106596,4
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1998,0.95,2.037407579947586,10
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1998,0.95,1.6185854516302147,6
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1998,0.95,2.2530616082781867,12
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1999,0.925,1.1050831561960721,1
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1999,1.0,1.3177168285339471,3
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1999,1.0,2.0662946578584096,10
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1999,1.0,2.4013995185520827,13
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1999,1.0,2.4013995185520827,13
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1999,1.0,2.876127825900627,17
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2000,0.925,1.200985777128052,2
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2000,1.0,1.6076398543050359,6
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2000,0.925,1.916002533207648,9
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2000,0.975,2.2330483444440614,12
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2000,0.925,2.2330483444440614,12
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2000,0.975,2.6763888605342165,16
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2001,0.975,1.1042685548520605,1
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2001,0.975,1.315565422452264,3
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2001,0.975,2.0526556599681074,10
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2001,0.975,2.2681945737935356,12
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2001,0.975,2.159832790895532,11
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2001,0.975,2.601937564337429,15
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2002,0.95,1.0951744701569879,1
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2002,1.0,2.3017288020515725,13
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2002,0.95,1.7826548239078122,8
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2002,1.0,3.727943625008616,25
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2002,0.95,1.9859706062797642,10
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2002,1.0,4.2585145322697935,29
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2003,0.9,1.0964749484832685,1
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2003,0.975,1.3903891693867543,4
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2003,0.825,1.487884501064163,5
