dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed,coverage,stretch,cp_quantile
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1997,0.9733333333333334,2.2088194129002248,13
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1997,1.0,2.2388778571784926,15
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1997,0.9333333333333333,2.2475151490195797,16
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1997,1.0,2.25433505029166,18
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1998,1.0,1.848986381142948,5
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1998,1.0,1.848986381142948,5
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1998,0.9466666666666667,2.2376757852626232,13
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1998,1.0,2.2706413500616414,15
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1998,0.96,2.279780572149106,16
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1998,1.0,2.288048735294326,19
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1999,1.0,1.8473644768880684,5
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1999,1.0,1.8473644768880684,5
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1999,0.96,2.243463334445193,13
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1999,1.0,2.276274113378581,15
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1999,0.9733333333333334,2.2856860982120923,16
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1999,1.0,2.293485728327998,18
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2000,1.0,1.8368566228711212,5
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2000,1.0,1.8368566228711212,5
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2000,0.9866666666666667,2.2254395726213074,13
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2000,0.9866666666666667,2.2254395726213074,13
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2000,0.9333333333333333,2.2695747540601885,16
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2000,1.0,2.281837773660659,18
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2001,0.9466666666666667,1.720874159729483,4
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2001,1.0,1.8290358395619826,5
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2001,0.92,2.1905143089950543,12
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2001,0.9733333333333334,2.213384061008723,13
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2001,0.92,2.2454642589546903,15
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2001,0.9866666666666667,2.260171639253043,17
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2002,1.0,1.7872883578675343,5
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2002,1.0,1.87308547976292,6
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2002,1.0,2.173484485573939,13
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2002,1.0,2.2114738308756086,16
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2002,0.9866666666666667,2.2114738308756086,16
