dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed,coverage,stretch,cp_quantile
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1998,0.916,1.257743374496648,6
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1998,0.98,4.40767811038922,65
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1998,0.872,1.5785692447828505,13
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1998,0.944,3.168576932520674,45
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1998,0.912,2.15003073145677,24
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1998,0.952,4.46636908999633,65
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1999,0.884,1.1600357456344794,4
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1999,0.964,3.804533861703854,53
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1999,0.872,1.5661476570056911,13
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1999,0.98,5.173162967418814,76
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1999,0.888,1.7531018039157078,17
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1999,0.972,5.361665113026746,76
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2000,0.896,1.2059875456386557,5
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2000,0.968,3.771114070824438,53
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2000,0.932,2.187145084241698,26
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2000,0.968,4.704333126433283,69
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2000,0.888,1.7508910785559124,17
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2000,0.976,5.283105230258916,78
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2001,0.904,1.2019323015794066,5
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2001,0.968,3.762697560592689,53
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2001,0.828,1.3255138168469656,8
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2001,0.976,4.974284476302129,74
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2001,0.92,2.3335203736081764,29
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2001,0.952,4.675130709935967,65
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2002,0.884,1.1595029004231974,4
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2002,0.988,4.70510654178197,66
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2002,0.9,1.6790595600835438,16
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2002,0.936,3.1488694908038917,42
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2002,0.912,2.0780523920108434,24
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2002,0.948,4.124130442134422,59
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2003,0.904,1.1946595387907006,5
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2003,0.944,2.2553916745780436,28
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2003,0.848,1.4338497666424914,10
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2003,0.98,5.4151782624505636,76
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2003,0.892,1.7289572780124363,17
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2003,0.928,3.275300675866472,44
