dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed,coverage,stretch,cp_quantile
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1998,0.876,15.564063675444073,0.793395831229887
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1998,0.972,15.778394361152573,0.8774585605228129
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1999,0.892,1.1640927752497683,0.5836363977245504
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1999,0.932,1.7351209327098773,0.6849078074450725
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,1999,0.896,7.818750646666542,0.7363772969613169
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,1999,0.944,14.523300329211962,0.8153992519253768
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1999,0.88,14.858099249393097,0.794496218996736
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1999,0.972,16.46365049456901,0.8774585605228129
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2000,0.908,1.2465015031011646,0.6185022321564526
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2000,0.976,5.435182758674675,0.7257198016817288
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2000,0.92,13.48761422160701,0.7613233726764959
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2000,0.948,14.391555920526486,0.8192911933062472
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2000,0.908,14.925253362518363,0.8045244568745593
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2000,0.948,15.116579581610814,0.8592952148776982
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2001,0.936,1.3289237551280737,0.6400463680856081
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2001,0.988,9.890133072024451,0.7445452958631531
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2001,0.84,2.5689151761125104,0.7072490968570042
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2001,0.972,14.558701181978275,0.8394333343647205
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2001,0.916,14.079156021893581,0.8053789290864062
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2001,0.964,17.075638714843414,0.8757604228842171
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2002,0.872,1.103206767690282,0.5626806290921245
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2002,0.976,5.25839828071744,0.7257198016817288
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2002,0.896,7.1616511748943354,0.7363772969613169
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2002,0.936,15.747595086708474,0.8043864758293076
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2002,0.916,14.73627104911018,0.8053789290864062
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2002,0.96,15.744806568428183,0.8693228962835757
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2003,0.888,1.1459238471455853,0.5818368033696855
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2003,0.952,2.335012077786403,0.6967158174642529
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2003,0.892,8.23359433062821,0.7357509877019108
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2003,0.944,16.004816974293174,0.8153992519253768
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2003,0.904,14.615660070800612,0.8032448375199213
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2003,0.952,16.851248319035598,0.8630317185498892
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2004,0.924,1.277216374861132,0.6209445889421268
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2004,0.972,4.736953891569601,0.7246419813284275
